timestamp,ticker,score
2023-10-29,F,469
2023-10-31,AMD,397
2023-11-02,PLTR,136
2023-11-02,AAPL,289
2023-11-05,RIVN,450
2023-11-09,AMC,410
2023-11-16,BABA,155
2023-11-16,TLRY,2448
2023-11-16,WMT,107
2023-11-16,SNDL,2445
2023-11-17,MSFT,537
2023-11-21,NVDA,1020
2023-11-22,AMD,108
2023-11-22,NFLX,391
2023-11-25,LLY,119
2023-11-27,UPS,110
2023-11-28,GME,119
2023-11-29,GM,700
2023-12-02,HOOD,101
2023-12-03,DIS,103
2023-12-06,SNAP,392
2023-12-06,VIX,132
2023-12-06,PYPL,104
2023-12-08,BA,103
2023-12-09,AAPL,316
2023-12-11,MSFT,360
2023-12-11,QQQ,421
2023-12-12,AVGO,1127
2023-12-12,CAVA,215
2023-12-19,NFLX,829
2023-12-20,AMD,558
2023-12-20,MARA,161
2023-12-22,COIN,493
2023-12-23,AMC,435
2023-12-23,UPS,117
2023-12-25,GM,125
2023-12-26,AMZN,179
2023-12-26,INTC,171
2023-12-26,F,100
2023-12-27,USO,772
2023-12-29,SPX,467
2023-12-31,GOOG,161
2024-01-05,ZIM,164
2024-01-05,SPY,1560
2024-01-06,BA,257
2024-01-08,NVDA,743
2024-01-10,MSFT,113
2024-01-10,TSMC,194
2024-01-10,MARA,165
2024-01-10,TSM,199
2024-01-13,MSOS,105
2024-01-13,TLRY,102
2024-01-15,TSLA,1657
2024-01-16,SAVE,730
2024-01-16,NFLX,156
2024-01-16,AMD,297
2024-01-17,BABA,119
2024-01-18,V,160
2024-01-19,SMCI,172
2024-01-21,AAPL,264
2024-01-22,DWAC,390
2024-01-22,GME,127
